id,method,domain,n_qis,qi_dropped_rate,qi_exact_rate,qi_generalized_rate,qi_placeholder_rate,qi_specificity_score,utility_weighted_specificity
synth_0034,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0035,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0036,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0037,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0038,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0039,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0040,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0041,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0042,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0043,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0044,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0045,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0046,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0047,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0048,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0049,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0050,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0051,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0052,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0053,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0054,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0055,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0056,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0057,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0058,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0059,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0060,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0061,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0062,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0063,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0064,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0065,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0066,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0067,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0068,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0069,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0070,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0071,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0072,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0073,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0074,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0075,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0076,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0077,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0078,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0079,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0080,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0081,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0082,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0083,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0084,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0085,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0086,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0087,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0088,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0089,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0090,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0091,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0092,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0093,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0094,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0095,none,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0096,none,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0097,none,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0098,none,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0099,none,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0000,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0001,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0002,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0003,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0004,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0005,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0006,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0007,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0008,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0009,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0010,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0011,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0012,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0013,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0014,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0015,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0016,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0017,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0018,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0019,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0020,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0021,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0022,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0023,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0024,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0025,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0026,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0027,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0028,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0029,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0030,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0031,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0032,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0033,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0034,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0035,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0036,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0037,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0038,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0039,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0040,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0041,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0042,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0043,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0044,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0045,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0046,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0047,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0048,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0049,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0050,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0051,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0052,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0053,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0054,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0055,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0056,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0057,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0058,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0059,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0060,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0061,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0062,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0063,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0064,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0065,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0066,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0067,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0068,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0069,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0070,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0071,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0072,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0073,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0074,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0075,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0076,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0077,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0078,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0079,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0080,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0081,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0082,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0083,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0084,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0085,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0086,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0087,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0088,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0089,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0090,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0091,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0092,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0093,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0094,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0095,direct,medical_admin,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0096,direct,legal_intake,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0097,direct,financial_support,6.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0098,direct,hr_workplace,7.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0099,direct,education_support,5.0,0.0,1.0,0.0,0.0,1.0,1.0
synth_0000,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0001,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0002,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0003,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0004,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0005,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0006,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0007,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0008,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0009,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0010,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0011,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0012,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0013,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0014,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0015,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0016,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0017,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0018,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0019,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0020,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0021,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0022,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0023,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0024,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0025,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0026,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0027,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0028,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0029,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0030,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0031,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0032,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0033,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0034,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0035,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0036,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0037,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0038,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0039,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0040,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0041,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0042,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0043,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0044,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0045,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0046,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0047,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0048,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0049,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0050,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0051,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0052,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0053,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0054,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0055,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0056,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0057,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0058,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0059,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0060,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0061,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0062,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0063,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0064,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0065,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0066,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0067,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0068,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0069,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0070,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0071,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0072,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0073,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0074,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0075,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0076,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0077,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0078,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0079,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0080,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0081,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0082,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0083,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0084,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0085,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0086,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0087,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0088,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0089,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0090,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0091,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0092,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0093,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0094,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0095,blanket_qi,medical_admin,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0096,blanket_qi,legal_intake,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0097,blanket_qi,financial_support,6.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0098,blanket_qi,hr_workplace,7.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0099,blanket_qi,education_support,5.0,0.0,0.0,0.0,1.0,0.25,0.25
synth_0000,rbqig_b2,medical_admin,7.0,0.0,0.0,0.285714,0.714286,0.364286,0.359091
synth_0001,rbqig_b2,legal_intake,6.0,0.0,0.0,0.333333,0.666667,0.383333,0.37
synth_0002,rbqig_b2,financial_support,6.0,0.0,0.0,0.333333,0.666667,0.383333,0.37
synth_0003,rbqig_b2,hr_workplace,7.0,0.0,0.0,0.285714,0.714286,0.364286,0.359091
synth_0004,rbqig_b2,education_support,5.0,0.0,0.0,0.4,0.6,0.41,0.391176
synth_0005,rbqig_b2,medical_admin,7.0,0.0,0.0,0.285714,0.714286,0.364286,0.359091
synth_0006,rbqig_b2,legal_intake,6.0,0.0,0.0,0.333333,0.666667,0.383333,0.37
synth_0007,rbqig_b2,financial_support,6.0,0.0,0.0,0.333333,0.666667,0.383333,0.37
synth_0008,rbqig_b2,hr_workplace,7.0,0.0,0.0,0.285714,0.714286,0.364286,0.359091
synth_0009,rbqig_b2,education_support,5.0,0.0,0.0,0.4,0.6,0.41,0.391176
synth_0010,rbqig_b2,medical_admin,7.0,0.0,0.0,0.285714,0.714286,0.364286,0.359091
synth_0011,rbqig_b2,legal_intake,6.0,0.0,0.0,0.333333,0.666667,0.383333,0.37
synth_0012,rbqig_b2,financial_support,6.0,0.0,0.0,0.333333,0.666667,0.383333,0.37
synth_0013,rbqig_b2,hr_workplace,7.0,0.0,0.0,0.285714,0.714286,0.364286,0.359091
synth_0014,rbqig_b2,education_support,5.0,0.0,0.0,0.4,0.6,0.41,0.391176
