id,method,domain,coarse_attribute_leakage,exact_attribute_leakage,record_compromise_rate,risk_weighted_leakage
ratbench_english_14,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_16,rbqig_b4,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_18,rbqig_b4,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_19,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_21,rbqig_b4,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_23,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_25,rbqig_b4,Chatbot conversation,0.5,0.5,1.0,0.5
ratbench_english_27,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_29,rbqig_b4,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_30,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_33,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_35,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_36,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_37,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_42,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_43,rbqig_b4,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_44,rbqig_b4,Chatbot conversation,1.0,1.0,0.0,1.0
ratbench_english_46,rbqig_b4,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_51,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_52,rbqig_b4,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_54,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_55,rbqig_b4,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_56,rbqig_b4,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_59,rbqig_b4,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_1,llm_direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_6,llm_direct,Meeting transcript,0.5,0.5,1.0,0.5714285714285714
ratbench_english_7,llm_direct,Meeting transcript,0.5,0.5,1.0,0.5555555555555556
ratbench_english_10,llm_direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_11,llm_direct,Meeting transcript,0.0,0.0,0.0,0.0
ratbench_english_13,llm_direct,Chatbot conversation,0.5,0.5,1.0,0.4444444444444444
ratbench_english_14,llm_direct,Chatbot conversation,0.5,0.5,1.0,0.5
ratbench_english_16,llm_direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_18,llm_direct,Medical consultation,0.5,0.5,1.0,0.5714285714285714
ratbench_english_19,llm_direct,Meeting transcript,1.0,1.0,0.0,1.0
ratbench_english_21,llm_direct,Medical consultation,0.5,0.5,1.0,0.4444444444444444
ratbench_english_23,llm_direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_25,llm_direct,Chatbot conversation,1.0,1.0,1.0,1.0
ratbench_english_27,llm_direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_29,llm_direct,Medical consultation,0.5,0.5,0.0,0.4
ratbench_english_30,llm_direct,Chatbot conversation,0.5,0.5,1.0,0.4444444444444444
ratbench_english_33,llm_direct,Meeting transcript,0.6666666666666666,0.6666666666666666,1.0,0.5833333333333334
ratbench_english_35,llm_direct,Chatbot conversation,1.0,1.0,1.0,1.0
ratbench_english_36,llm_direct,Meeting transcript,0.5,0.5,1.0,0.5555555555555556
ratbench_english_37,llm_direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_42,llm_direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_43,llm_direct,Medical consultation,1.0,1.0,1.0,1.0
ratbench_english_44,llm_direct,Chatbot conversation,1.0,1.0,0.0,1.0
ratbench_english_46,llm_direct,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_51,llm_direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_52,llm_direct,Medical consultation,0.0,0.0,0.0,0.0
ratbench_english_54,llm_direct,Chatbot conversation,0.0,0.0,0.0,0.0
ratbench_english_55,llm_direct,Meeting transcript,1.0,1.0,1.0,1.0
ratbench_english_56,llm_direct,Chatbot conversation,1.0,1.0,0.0,1.0
ratbench_english_59,llm_direct,Meeting transcript,1.0,1.0,1.0,1.0
