id,method,domain,privacy_aware_label_preservation,privacy_aware_utility,privacy_aware_utility_0_to_5,private_loss_penalty,task_content_preservation
ratbench_english_28,direct,Medical consultation,1.0,1.0,5.0,0.0,0.95
ratbench_english_29,direct,Medical consultation,1.0,0.8,4.0,0.0,0.82
ratbench_english_30,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.98
ratbench_english_31,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.95
ratbench_english_32,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.85
ratbench_english_33,direct,Medical consultation,1.0,0.6,3.0,0.0,0.98
ratbench_english_34,direct,Medical consultation,1.0,0.4,2.0,0.0,0.97
ratbench_english_35,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.95
ratbench_english_36,direct,Medical consultation,1.0,1.0,5.0,0.0,0.98
ratbench_english_37,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.97
ratbench_english_38,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.85
ratbench_english_39,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.9
ratbench_english_40,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.82
ratbench_english_41,direct,Medical consultation,1.0,1.0,5.0,0.0,0.95
ratbench_english_42,direct,Meeting transcript,1.0,0.8,4.0,0.0,0.9
ratbench_english_43,direct,Medical consultation,1.0,0.8,4.0,0.0,0.86
ratbench_english_44,direct,Meeting transcript,1.0,0.2,1.0,1.0,0.9
ratbench_english_45,direct,Chatbot conversation,1.0,0.8,4.0,0.0,0.88
ratbench_english_46,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.98
ratbench_english_47,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.95
ratbench_english_48,direct,Chatbot conversation,1.0,1.0,5.0,0.0,0.95
ratbench_english_49,direct,Medical consultation,1.0,1.0,5.0,0.0,0.92
ratbench_english_0,blanket_qi,Medical consultation,1.0,1.0,5.0,0.0,0.78
ratbench_english_1,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.88
ratbench_english_2,blanket_qi,Medical consultation,1.0,0.8,4.0,1.0,0.88
ratbench_english_3,blanket_qi,Meeting transcript,1.0,0.8,4.0,0.0,0.78
ratbench_english_4,blanket_qi,Medical consultation,1.0,1.0,5.0,0.0,0.86
ratbench_english_5,blanket_qi,Meeting transcript,1.0,0.8,4.0,0.0,0.88
ratbench_english_6,blanket_qi,Meeting transcript,1.0,1.0,5.0,0.0,0.9
ratbench_english_7,blanket_qi,Meeting transcript,1.0,0.6,3.0,0.0,0.72
ratbench_english_8,blanket_qi,Meeting transcript,1.0,1.0,5.0,0.0,0.72
ratbench_english_9,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.86
ratbench_english_10,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.88
ratbench_english_11,blanket_qi,Meeting transcript,1.0,1.0,5.0,0.0,0.74
ratbench_english_12,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.82
ratbench_english_13,blanket_qi,Chatbot conversation,1.0,0.6,3.0,0.0,0.72
ratbench_english_14,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.86
ratbench_english_15,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.78
ratbench_english_16,blanket_qi,Chatbot conversation,1.0,0.6,3.0,0.0,0.72
ratbench_english_17,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.86
ratbench_english_18,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.82
ratbench_english_19,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.86
ratbench_english_20,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.85
ratbench_english_21,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.92
ratbench_english_22,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.83
ratbench_english_23,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.88
ratbench_english_24,blanket_qi,Meeting transcript,1.0,0.8,4.0,0.0,0.74
ratbench_english_25,blanket_qi,Meeting transcript,1.0,0.8,4.0,0.0,0.86
ratbench_english_26,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.78
ratbench_english_27,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.85
ratbench_english_28,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.72
ratbench_english_29,blanket_qi,Medical consultation,1.0,1.0,5.0,0.0,0.85
ratbench_english_30,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.78
ratbench_english_31,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.76
ratbench_english_32,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.88
ratbench_english_33,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.78
ratbench_english_34,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.85
ratbench_english_35,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.82
ratbench_english_36,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.74
ratbench_english_37,blanket_qi,Meeting transcript,1.0,0.8,4.0,0.0,0.86
ratbench_english_38,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.82
ratbench_english_39,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.9
ratbench_english_40,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.62
ratbench_english_41,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.75
ratbench_english_42,blanket_qi,Meeting transcript,1.0,1.0,5.0,0.0,0.86
ratbench_english_43,blanket_qi,Medical consultation,1.0,0.8,4.0,0.0,0.86
ratbench_english_44,blanket_qi,Meeting transcript,1.0,1.0,5.0,0.0,0.72
ratbench_english_45,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.9
ratbench_english_46,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.75
ratbench_english_47,blanket_qi,Chatbot conversation,1.0,1.0,5.0,0.0,0.83
ratbench_english_48,blanket_qi,Chatbot conversation,1.0,0.8,4.0,0.0,0.72
ratbench_english_49,blanket_qi,Medical consultation,1.0,1.0,5.0,0.0,0.86
ratbench_english_0,rbqig_b4_placeholder,Medical consultation,1.0,1.0,5.0,0.0,0.85
ratbench_english_1,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.78
ratbench_english_2,rbqig_b4_placeholder,Medical consultation,1.0,1.0,5.0,0.0,0.92
ratbench_english_3,rbqig_b4_placeholder,Meeting transcript,1.0,1.0,5.0,0.0,0.78
ratbench_english_4,rbqig_b4_placeholder,Medical consultation,1.0,0.8,4.0,0.0,0.74
ratbench_english_5,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.78
ratbench_english_6,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.86
ratbench_english_7,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.72
ratbench_english_8,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.78
ratbench_english_9,rbqig_b4_placeholder,Medical consultation,1.0,0.6,3.0,0.0,0.82
ratbench_english_10,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.85
ratbench_english_11,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.76
ratbench_english_12,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.86
ratbench_english_13,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.62
ratbench_english_14,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.86
ratbench_english_15,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.84
ratbench_english_16,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.72
ratbench_english_17,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.93
ratbench_english_18,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.82
ratbench_english_19,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.86
ratbench_english_20,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.9
ratbench_english_21,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.7
ratbench_english_22,rbqig_b4_placeholder,Medical consultation,1.0,1.0,5.0,0.0,0.78
ratbench_english_23,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.88
ratbench_english_24,rbqig_b4_placeholder,Meeting transcript,1.0,1.0,5.0,0.0,0.8
ratbench_english_25,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.84
ratbench_english_26,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.78
ratbench_english_27,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.78
ratbench_english_28,rbqig_b4_placeholder,Medical consultation,1.0,0.8,4.0,0.0,0.86
ratbench_english_29,rbqig_b4_placeholder,Medical consultation,1.0,1.0,5.0,0.0,0.9
ratbench_english_30,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.82
ratbench_english_31,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.85
ratbench_english_32,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.86
ratbench_english_33,rbqig_b4_placeholder,Medical consultation,1.0,0.4,2.0,0.0,0.62
ratbench_english_34,rbqig_b4_placeholder,Medical consultation,1.0,0.8,4.0,0.0,0.82
ratbench_english_35,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.83
ratbench_english_36,rbqig_b4_placeholder,Medical consultation,1.0,0.8,4.0,0.0,0.72
ratbench_english_37,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.78
ratbench_english_38,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.86
ratbench_english_39,rbqig_b4_placeholder,Chatbot conversation,1.0,1.0,5.0,0.0,0.78
ratbench_english_40,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.72
ratbench_english_41,rbqig_b4_placeholder,Medical consultation,1.0,0.8,4.0,0.0,0.75
ratbench_english_42,rbqig_b4_placeholder,Meeting transcript,1.0,0.8,4.0,0.0,0.78
ratbench_english_43,rbqig_b4_placeholder,Medical consultation,1.0,0.8,4.0,0.0,0.82
ratbench_english_44,rbqig_b4_placeholder,Meeting transcript,1.0,1.0,5.0,0.0,0.72
ratbench_english_45,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.72
ratbench_english_46,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.86
ratbench_english_47,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.86
ratbench_english_48,rbqig_b4_placeholder,Chatbot conversation,1.0,0.8,4.0,0.0,0.85
ratbench_english_49,rbqig_b4_placeholder,Medical consultation,1.0,0.8,4.0,0.0,0.74
