id,method,domain,label_preservation,llm_fact_preservation,semantic_utility_score,semantic_utility_score_0_to_5
synth_0056,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0057,direct,financial_support,1.0,0.666667,0.8,4.0
synth_0058,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0059,direct,education_support,1.0,0.75,0.8,4.0
synth_0060,direct,medical_admin,1.0,0.9,0.8,4.0
synth_0061,direct,legal_intake,1.0,0.67,0.8,4.0
synth_0062,direct,financial_support,1.0,0.67,0.8,4.0
synth_0063,direct,hr_workplace,1.0,1.0,1.0,5.0
synth_0064,direct,education_support,1.0,0.75,0.8,4.0
synth_0065,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0066,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0067,direct,financial_support,1.0,0.67,0.8,4.0
synth_0068,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0069,direct,education_support,1.0,0.75,0.8,4.0
synth_0070,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0071,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0072,direct,financial_support,1.0,0.9,1.0,5.0
synth_0073,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0074,direct,education_support,1.0,0.75,0.8,4.0
synth_0075,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0076,direct,legal_intake,1.0,0.67,0.8,4.0
synth_0077,direct,financial_support,1.0,0.666667,0.8,4.0
synth_0078,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0079,direct,education_support,1.0,0.75,0.8,4.0
synth_0080,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0081,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0082,direct,financial_support,1.0,0.67,0.8,4.0
synth_0083,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0084,direct,education_support,1.0,0.75,0.8,4.0
synth_0085,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0086,direct,legal_intake,1.0,0.67,0.8,4.0
synth_0087,direct,financial_support,1.0,0.67,0.8,4.0
synth_0088,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0089,direct,education_support,1.0,0.75,0.8,4.0
synth_0090,direct,medical_admin,1.0,0.75,0.8,4.0
synth_0091,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0092,direct,financial_support,1.0,0.67,0.8,4.0
synth_0093,direct,hr_workplace,1.0,0.75,0.8,4.0
synth_0094,direct,education_support,1.0,0.75,0.8,4.0
synth_0095,direct,medical_admin,1.0,0.75,1.0,5.0
synth_0096,direct,legal_intake,1.0,0.666667,0.8,4.0
synth_0097,direct,financial_support,1.0,0.67,0.8,4.0
synth_0098,direct,hr_workplace,1.0,1.0,1.0,5.0
synth_0099,direct,education_support,1.0,0.75,0.8,4.0
synth_0000,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0001,blanket_qi,legal_intake,1.0,0.666667,0.8,4.0
synth_0002,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0003,blanket_qi,hr_workplace,1.0,0.8,0.8,4.0
synth_0004,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0005,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0006,blanket_qi,legal_intake,1.0,0.67,0.8,4.0
synth_0007,blanket_qi,financial_support,1.0,0.8,0.8,4.0
synth_0008,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0009,blanket_qi,education_support,1.0,0.8,0.8,4.0
synth_0010,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0011,blanket_qi,legal_intake,0.0,0.333333,0.4,2.0
synth_0012,blanket_qi,financial_support,1.0,0.8,0.8,4.0
synth_0013,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0014,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0015,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0016,blanket_qi,legal_intake,1.0,0.5,0.6,3.0
synth_0017,blanket_qi,financial_support,1.0,0.7,0.8,4.0
synth_0018,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0019,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0020,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0021,blanket_qi,legal_intake,1.0,0.666667,0.8,4.0
synth_0022,blanket_qi,financial_support,1.0,0.666667,0.8,4.0
synth_0023,blanket_qi,hr_workplace,1.0,0.7,0.8,4.0
synth_0024,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0025,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0026,blanket_qi,legal_intake,1.0,0.67,0.8,4.0
synth_0027,blanket_qi,financial_support,1.0,0.6,0.8,4.0
synth_0028,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0029,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0030,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0031,blanket_qi,legal_intake,1.0,0.833333,0.8,4.0
synth_0032,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0033,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0034,blanket_qi,education_support,1.0,0.5,0.6,3.0
synth_0035,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0036,blanket_qi,legal_intake,1.0,0.666667,0.6,3.0
synth_0037,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0038,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0039,blanket_qi,education_support,1.0,0.5,0.6,3.0
synth_0040,blanket_qi,medical_admin,1.0,0.85,0.8,4.0
synth_0041,blanket_qi,legal_intake,1.0,0.666667,0.8,4.0
synth_0042,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0043,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0044,blanket_qi,education_support,1.0,0.6,0.8,4.0
synth_0045,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0046,blanket_qi,legal_intake,1.0,0.33,0.6,3.0
synth_0047,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0048,blanket_qi,hr_workplace,1.0,1.0,1.0,5.0
synth_0049,blanket_qi,education_support,1.0,0.5,0.6,3.0
synth_0050,blanket_qi,medical_admin,1.0,0.5,0.6,3.0
synth_0051,blanket_qi,legal_intake,1.0,0.666667,0.8,4.0
synth_0052,blanket_qi,financial_support,1.0,0.666667,0.8,4.0
synth_0053,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0054,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0055,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0056,blanket_qi,legal_intake,1.0,0.33,0.6,3.0
synth_0057,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0058,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0059,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0060,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0061,blanket_qi,legal_intake,1.0,0.666667,0.8,4.0
synth_0062,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0063,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0064,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0065,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0066,blanket_qi,legal_intake,1.0,0.67,0.8,4.0
synth_0067,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0068,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0069,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0070,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0071,blanket_qi,legal_intake,1.0,0.666667,0.8,4.0
synth_0072,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0073,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0074,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0075,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0076,blanket_qi,legal_intake,1.0,0.33,0.4,2.0
synth_0077,blanket_qi,financial_support,1.0,0.8,0.8,4.0
synth_0078,blanket_qi,hr_workplace,1.0,0.67,0.8,4.0
synth_0079,blanket_qi,education_support,1.0,0.5,0.6,3.0
synth_0080,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0081,blanket_qi,legal_intake,1.0,0.333333,0.6,3.0
synth_0082,blanket_qi,financial_support,1.0,0.8,0.8,4.0
synth_0083,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0084,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0085,blanket_qi,medical_admin,1.0,0.8,0.8,4.0
synth_0086,blanket_qi,legal_intake,1.0,0.33,0.4,2.0
synth_0087,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0088,blanket_qi,hr_workplace,1.0,0.75,0.8,4.0
synth_0089,blanket_qi,education_support,1.0,0.6,0.8,4.0
synth_0090,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0091,blanket_qi,legal_intake,1.0,0.67,0.8,4.0
synth_0092,blanket_qi,financial_support,1.0,0.83,0.8,4.0
synth_0093,blanket_qi,hr_workplace,1.0,0.85,0.8,4.0
synth_0094,blanket_qi,education_support,1.0,0.5,0.6,3.0
synth_0095,blanket_qi,medical_admin,1.0,0.75,0.8,4.0
synth_0096,blanket_qi,legal_intake,1.0,0.67,0.8,4.0
synth_0097,blanket_qi,financial_support,1.0,0.67,0.8,4.0
synth_0098,blanket_qi,hr_workplace,1.0,0.8,0.8,4.0
synth_0099,blanket_qi,education_support,1.0,0.75,0.8,4.0
synth_0000,rbqig_b4,medical_admin,1.0,0.5,0.6,3.0
synth_0001,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0002,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0003,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0004,rbqig_b4,education_support,1.0,0.5,0.6,3.0
synth_0005,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0006,rbqig_b4,legal_intake,1.0,0.75,0.8,4.0
synth_0007,rbqig_b4,financial_support,1.0,0.666667,0.8,4.0
synth_0008,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0009,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0010,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0011,rbqig_b4,legal_intake,1.0,0.666667,0.8,4.0
synth_0012,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0013,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0014,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0015,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0016,rbqig_b4,legal_intake,1.0,0.666667,0.8,4.0
synth_0017,rbqig_b4,financial_support,1.0,0.666667,0.8,4.0
synth_0018,rbqig_b4,hr_workplace,1.0,1.0,1.0,5.0
synth_0019,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0020,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0021,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0022,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0023,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0024,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0025,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0026,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0027,rbqig_b4,financial_support,1.0,0.66,0.8,4.0
synth_0028,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0029,rbqig_b4,education_support,1.0,0.5,0.6,3.0
synth_0030,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0031,rbqig_b4,legal_intake,1.0,1.0,1.0,5.0
synth_0032,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0033,rbqig_b4,hr_workplace,1.0,0.8,0.8,4.0
synth_0034,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0035,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0036,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0037,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0038,rbqig_b4,hr_workplace,1.0,0.5,0.6,3.0
synth_0039,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0040,rbqig_b4,medical_admin,1.0,0.9,1.0,5.0
synth_0041,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0042,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0043,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0044,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0045,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0046,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0047,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0048,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0049,rbqig_b4,education_support,1.0,0.5,0.6,3.0
synth_0050,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0051,rbqig_b4,legal_intake,1.0,0.666667,0.8,4.0
synth_0052,rbqig_b4,financial_support,1.0,0.666667,0.8,4.0
synth_0053,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0054,rbqig_b4,education_support,1.0,0.8,0.8,4.0
synth_0055,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0056,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0057,rbqig_b4,financial_support,1.0,0.666667,0.8,4.0
synth_0058,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0059,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0060,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0061,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0062,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0063,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0064,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0065,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0066,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0067,rbqig_b4,financial_support,1.0,0.83,1.0,5.0
synth_0068,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0069,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0070,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0071,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0072,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0073,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0074,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0075,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0076,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0077,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0078,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0079,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0080,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0081,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0082,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0083,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0084,rbqig_b4,education_support,1.0,0.75,0.8,4.0
synth_0085,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0086,rbqig_b4,legal_intake,1.0,0.666667,0.8,4.0
synth_0087,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0088,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0089,rbqig_b4,education_support,1.0,0.5,0.6,3.0
synth_0090,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0091,rbqig_b4,legal_intake,1.0,0.9,0.8,4.0
synth_0092,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0093,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0094,rbqig_b4,education_support,1.0,0.5,0.6,3.0
synth_0095,rbqig_b4,medical_admin,1.0,0.75,0.8,4.0
synth_0096,rbqig_b4,legal_intake,1.0,0.67,0.8,4.0
synth_0097,rbqig_b4,financial_support,1.0,0.67,0.8,4.0
synth_0098,rbqig_b4,hr_workplace,1.0,0.75,0.8,4.0
synth_0099,rbqig_b4,education_support,1.0,0.75,0.8,4.0
